Map,Case,CondTempInF,EvapTempInF,EstPower,UncerOverall,UncerInput,UncerOutput,UncerTrain,UncerDev,UncerCov,MinNormDistance,MinFDistance
Map 3,testing_points,8.00000e+01,-2.00000e+01,1.68279e+03,4.45342e+01,1.65855e+01,1.08242e+01,3.46274e+01,1.12643e+01,1.62823e+01,1.81818e-01,1.62823e+01,1.00000e+01
Map 3,testing_points,1.00000e+02,-2.00000e+01,1.59867e+03,5.04358e+01,3.49710e+01,1.02831e+01,3.00063e+01,1.12643e+01,1.37040e+01,1.81818e-01,1.37040e+01,1.00000e+01
Map 3,testing_points,1.20000e+02,-1.00000e+01,1.77643e+03,5.05212e+01,4.57005e+01,1.14265e+01,1.30863e+01,1.12643e+01,5.92877e+00,0.00000e+00,5.92877e+00,0.00000e+00
Map 3,testing_points,1.50000e+02,1.00000e+01,2.91082e+03,6.97931e+01,5.61804e+01,1.87232e+01,3.32051e+01,1.12643e+01,1.16110e+01,1.66667e-01,1.16110e+01,1.00000e+01
Map 3,testing_points,1.50000e+02,5.50000e+01,5.46549e+03,1.01869e+02,5.68927e+01,3.51556e+01,7.24877e+01,1.12643e+01,2.28758e+01,2.46649e-01,2.28758e+01,1.41421e+01
Map 3,testing_points,1.20000e+02,5.50000e+01,4.68815e+03,7.15478e+01,4.75015e+01,3.01556e+01,4.06692e+01,1.12643e+01,1.31325e+01,1.81818e-01,1.31325e+01,1.00000e+01
Map 3,testing_points,8.00000e+01,5.50000e+01,2.81017e+03,9.54353e+01,7.10915e+01,1.80758e+01,5.72947e+01,1.12643e+01,1.78212e+01,1.81818e-01,1.78212e+01,1.00000e+01
Map 3,testing_points,1.10000e+02,2.00000e+01,3.05660e+03,4.29336e+01,3.54651e+01,1.96610e+01,7.94191e+00,1.12643e+01,3.00099e+00,9.09091e-02,3.00099e+00,5.00000e+00
Map 3,testing_points,1.10000e+02,2.50000e+01,3.24282e+03,4.44715e+01,3.63962e+01,2.08588e+01,9.00409e+00,1.12643e+01,3.15976e+00,9.09091e-02,3.15976e+00,5.00000e+00
Map 3,testing_points,1.20000e+02,2.00000e+01,3.16007e+03,4.74673e+01,4.01205e+01,2.03265e+01,9.56087e+00,1.12643e+01,3.46764e+00,9.09091e-02,3.46764e+00,5.00000e+00
Map 3,testing_points,1.20000e+02,3.00000e+01,3.59402e+03,4.96500e+01,4.10186e+01,2.31178e+01,1.04066e+01,1.12643e+01,3.60358e+00,9.09091e-02,3.60358e+00,5.00000e+00
Map 3,testing_points,8.00000e+01,1.50000e+01,2.18673e+03,4.48195e+01,3.96038e+01,1.40657e+01,9.95335e+00,1.12643e+01,4.06565e+00,0.00000e+00,4.06565e+00,0.00000e+00
Map 3,testing_points,1.50000e+02,3.00000e+01,4.07395e+03,7.05440e+01,5.48832e+01,2.62048e+01,3.21305e+01,1.12643e+01,1.08789e+01,1.66667e-01,1.08789e+01,1.00000e+01
Map 3,testing_points,1.20000e+02,2.50000e+01,3.37769e+03,4.84575e+01,4.04191e+01,2.17263e+01,1.01445e+01,1.12643e+01,3.54880e+00,1.66667e-01,3.54880e+00,1.00000e+01
Map 3,ARI_points,1.30000e+02,4.50000e+01,4.45622e+03,5.91907e+01,4.73400e+01,2.86637e+01,1.69722e+01,1.12643e+01,5.09124e+00,0.00000e+00,5.09124e+00,0.00000e+00
Map 3,ARI_points,1.10000e+02,4.50000e+01,3.99289e+03,5.35131e+01,4.29132e+01,2.56835e+01,1.46390e+01,1.12643e+01,4.61365e+00,0.00000e+00,4.61365e+00,0.00000e+00
Map 3,ARI_points,1.00000e+02,4.50000e+01,3.66430e+03,5.41636e+01,4.47127e+01,2.35699e+01,1.51435e+01,1.12643e+01,4.76661e+00,0.00000e+00,4.76661e+00,0.00000e+00
Map 3,ARI_points,1.10000e+02,3.00000e+01,3.42866e+03,4.62354e+01,3.76539e+01,2.20541e+01,9.76743e+00,1.12643e+01,3.34987e+00,0.00000e+00,3.34987e+00,0.00000e+00
Map 3,ARI_points,9.00000e+01,5.00000e+00,2.30575e+03,3.33494e+01,2.64047e+01,1.48313e+01,7.52175e+00,1.12643e+01,3.39781e+00,0.00000e+00,3.39781e+00,0.00000e+00
Map 3,ARI_points,8.00000e+01,4.50000e+01,2.62595e+03,7.17585e+01,6.34317e+01,1.68909e+01,2.56387e+01,1.12643e+01,7.49453e+00,0.00000e+00,7.49453e+00,0.00000e+00
Map 3,ARI_points,9.00000e+01,3.50000e+01,2.98022e+03,5.08219e+01,4.45405e+01,1.91697e+01,9.66204e+00,1.12643e+01,3.35976e+00,0.00000e+00,3.35976e+00,0.00000e+00
Map 3,ARI_points,1.20000e+02,4.50000e+01,4.24438e+03,5.55572e+01,4.43245e+01,2.73011e+01,1.50772e+01,1.12643e+01,4.73176e+00,0.00000e+00,4.73176e+00,0.00000e+00
